text,correct,predicted_native_language
Wish best wishes for her..,"I send my best wishes to her.. I know this might sound strainge, but this is a very common usage in English - to send someone good wishes on a birthday or other occasion.",Russian
It ticlkes my engineerity!,"It tickles my engineerity! (Ha, I guess I know what you mean by 'engineerity' ^_^, but maybe something more likely would be: 'engineerness'? This isn't really a word either, but I think I would use that over an 'ity' ending. For something proper, maybe 'it tickles my engineer character', 'it tickles the engineer in me' would be better- ^^)",Russian
I went to see my best friend who is in hospital today.,"This sentence is grammatically correct, but a bit ambiguous as it can either mean 1) your friend is sick and hospitalized, or 2) your friend is working or for some reason, is in a hospital although s/he is not sick.",Russian
And I feel dizzy.,"And I feel dizzy (too). (it's better to add ""too"" at the end of this sentence to make it more natural, because you mentioned previously that you had a headache and a stuffy nose)",Russian
I recieved so many greetings yesterday.,"I received so many greetings yesterday. (It's good to remember with 'i' and 'e' that: ""It's i before e, except after c."" It's a rhyme we learned in school. ;))",Russian
I tried to uninstall some applications and did a virus check.,"I tried to uninstall some applications and did a virus check (too). (It will sound more natural if you add ""too"" at the back of your sentence)",Russian
and is the only goldfish that has the show.,and is the only goldfish that has the show.I don't know what you mean by 'The show'. Do you mean their own TV show?,Russian
"Today, I had quarrel with my one of friend who i know about 2 years.","Today, I had quarrel with friend who know about 2 years. You could say ""one of friend"", but you add a more detailed description afterwards, so the ""my"" is not necessary. It is more grammatically correct to say ""...a friend who I have known... but this may sound too precise. Very few native speakers of English use this grammar rule any more.",Russian
"The reason we quarrel each othere today is that he sometimes say sarcastic and trash talk, it is ok sometimes trash talk and say joke, but sometimes it hurts my feeling, so i asked him not to say such thing even if we are freind.","The reason we quarrel today is that he sometimes sarcastic and trash talkt is ok trash talk and joke, but sometimes it hurts my feeling, so asked him not to say such thing even friend. OR: The reason we with each other is... ""sometimes it hurts"" is grammatically correct, but it places the pain in the present. You are talking about the past, so I think it would be better to say ""sometimes it hurt"" or ""sometimes it would hurt""",Russian
but i tried to look better side and keep good friendship.,"tried to friendship. If you ""give someone the benefit of the doubt"" it means that you are not sure if the person is right or wrong (there is a doubt in your mind) but you decide to agree with the person anyway.",Russian
But i couldn't stand what he say to me and my country.,"But couldn't stand what he me and my country. ""I couldn't stand"" means that it made you too angry to remain friends. If you are talking about the reason for your quarrel today, then it would be better to say ""But , I couldn't stand what he said... (and so we had a quarrel)"". If you mean that, in the past, you didn't appreciate what he said, but that it was not enough at the time to make you angry, then you need a slightly softer expression. For example: ""I found it hard to accept what he said... (but I did accept it)"".",Russian
This is because the doctor has confidence in my ability.,"This is because the doctor has confidence in his ability. Since this is a general statement, it sounds very strange to use ""my"".Whose ability are we talking about? The doctor's?",Russian
"The afternnoon is very quiet,I can only hear the voices of beating the keyboard.","The afternnoon is very quiet, I can only hear the voices of beating the keyboard. (This sounds very poetic so I hesitate to change it lest I change the feeling you were trying to portray. You might say something like, ""The afternoon is very quiet, I can only hear the voices of tapped keys on a keyboard"", I'm not sure I captured your meaning correctly)",Russian
But i have not use it in nearly one years because i quit the pre-job.,"But I have not used it in nearly one (or ""a"" instead of ""one"") year because I quit that job. (I'm not sure what you meant by ""pre-job."")",Russian
"I 'd not only meet with friend,almost plan what we would do in holiday before meet friends.","I 'd not only meet with my friend, we'd almost plan what we would do in holiday before meet friends.I don't understand this sentence very well. You met with your friend, planned some acitivities and then met with other friends?",Russian
"Understanding that, I lost my words for a while.","Understanding that, I lost my words for a while. (Not sure exactly what you mean here. I want to say that it should be ""I had no words for a while,"" or ""I could think of no words for a while.)",Russian
"I often confuse about a, an, the it needs or not.","I often confuse about a, an, the it needs or not.[I recommend the following sentence:I often confuse ""a"" and ""an"" with each other, and do not know when it is needed, or not.orI am often confused about wether the use of ""a"" and ""an"" is nescessary, or not.]",Russian
We have a lot of fan to jog in nature.,"I'm not quite sure what you mean by this sentence... ^^;. Is it in the sense of ""Many people are fans of jogging in nature.""?",Russian
I have to go the company for my works.,"I have to go my company for work.Although you don't own the company, we say my company to show that it is the place you normally work. It is the same as saying ""At my school ...""",Russian
"""by school bus"" and ""by the school bus"" Which phrase is correct?","""by school bus"" and ""by the school bus"" Which phrase is correct? It depends on what you're talking about. You can say ""The car parked by the school bus."" Or you can say ""We went by school bus."" But no one really talks like that. It's better to say ""We rode the school bus.""",Russian
Anyway finally I said I will go home alone and went to home alone nealy creeping.,"Anyway, finally I said I will go home alone and so I went home alone while nearly creeping. creeping.. maybe use another word.. ah, but I can't figure a replacement for it now @_@;",Russian
"it was very troublesome for me to memorize complicated words such as ""habiliment"" and ""jubilant"".","It was very troublesome for me to memorize complicated words such as ""habiliment"" and ""jubilant."" [Note: ""Jubilant"" is a somewhat common word, but ""habiliment"" is a very unusual word. It might be more worthwhile to work on words you are more likely to use. Actually using words to communicate something is the best way to remember them, in my opinion. I can't imagine a situation in which one would be likely to use the word ""habiliment.""]",Russian
