text,correct,sequence,native
"Well, I don't chase him.",I stopped chasing him,"('INTJ', 'PUNCT', 'PRON')",Spanish
It ticlkes my engineerity!,"It tickles my engineerity! (Ha, I guess I know what you mean by 'engineerity' ^_^, but maybe something more likely would be: 'engineerness'? This isn't really a word either, but I think I would use that over an 'ity' ending. For something proper, maybe 'it tickles my engineer character', 'it tickles the engineer in me' would be better- ^^)","('INTJ', 'PUNCT', 'PRON')",Spanish
It ticlkes my engineerity!,"It tickles my engineerity! (Ha, I guess I know what you mean by 'engineerity' ^_^, but maybe something more likely would be: 'engineerness'? This isn't really a word either, but I think I would use that over an 'ity' ending. For something proper, maybe 'it tickles my engineer character', 'it tickles the engineer in me' would be better- ^^)","('INTJ', 'PUNCT', 'PRON')",Spanish
It ticlkes my engineerity!,"It tickles my engineerity! (Ha, I guess I know what you mean by 'engineerity' ^_^, but maybe something more likely would be: 'engineerness'? This isn't really a word either, but I think I would use that over an 'ity' ending. For something proper, maybe 'it tickles my engineer character', 'it tickles the engineer in me' would be better- ^^)","('INTJ', 'PUNCT', 'PRON')",Spanish
It ticlkes my engineerity!,"It tickles my engineerity! (Ha, I guess I know what you mean by 'engineerity' ^_^, but maybe something more likely would be: 'engineerness'? This isn't really a word either, but I think I would use that over an 'ity' ending. For something proper, maybe 'it tickles my engineer character', 'it tickles the engineer in me' would be better- ^^)","('INTJ', 'PUNCT', 'PRON')",Spanish
It ticlkes my engineerity!,"It tickles my engineerity! (Ha, I guess I know what you mean by 'engineerity' ^_^, but maybe something more likely would be: 'engineerness'? This isn't really a word either, but I think I would use that over an 'ity' ending. For something proper, maybe 'it tickles my engineer character', 'it tickles the engineer in me' would be better- ^^)","('INTJ', 'PUNCT', 'PRON')",Spanish
It was really snug place.,"It was a really comfortable/relaxing place. (""Snug"" is used for other things. Like, this is a snug sweater => tight-fitting, or body-hugging.)","('INTJ', 'PUNCT', 'PRON')",Spanish
It was really snug place.,"It was a really comfortable/relaxing place. (""Snug"" is used for other things. Like, this is a snug sweater => tight-fitting, or body-hugging.)","('INTJ', 'PUNCT', 'PRON')",Spanish
A: Hi my name is jhonson cauch.,"A: Hi, my name is Jonathan Kellich.","('INTJ', 'PUNCT', 'PRON')",Spanish
I wish that you can spend wonderful,"Well, I wish that you have a wonderful","('INTJ', 'PUNCT', 'PRON')",Spanish
