text,correct,predicted_native_language
"China held a clear, persistent and firm position over the Tibetissue, which was related to China's core interests and major political concern, he said.","He said, China held a clear, persistent and firm position over the Tibet issue, which was related to China's core interests and major political concern.",Chinese (Mandarin)
"Chen said, ""China's trade deficit to Japan was 34 and a half billion US dollars.","Chen said, ""China's trade deficit to Japan was 34 and a half billion US dollars. (You could say billion US dollars)",Chinese (Mandarin)
And our assistance team was won,"The team we were rooting for won.(rooting for = supporting, hoping would win)",Chinese (Mandarin)
"But, sitting on the next parson who is Japanese business men interpreted my English to English","But the person sitting next to me, a Japanese businessman, interpreted my English to English.",Chinese (Mandarin)
It was really snug place.,"It was a really comfortable/relaxing place. (""Snug"" is used for other things. Like, this is a snug sweater => tight-fitting, or body-hugging.)",Chinese (Mandarin)
"Like the moon, things look different by the points you see from.","Like the moon, things look different from different viewpoints .",Chinese (Mandarin)
Today I went to the YFU meeting for the long-term staying overseas students.,Today I went to the YFU meeting for overseas students who are staying long-term here in Japan.,Chinese (Mandarin)
"I feel like I just content myself with reading English, but I learned nothing.","I feel contented by reading the English, but in actual fact, I learned nothing.",Chinese (Mandarin)
Please turn off or put your cellphone into silent mode while the show.,"Please turn off or put your cellphone into silent mode while watching the music video. (I think ""show"" is for something longer --like a TV program.)",Chinese (Mandarin)
We took part in it as the YFU which is the exchange organization that took care of me while I was staying in America.,We took part in it under the YFU(the comma here makes the sentence easier to understand) which was the exchange organization that took care of me while I was staying in America.,Chinese (Mandarin)
He has been helping my life.,He has given me a lot of help in life.,Chinese (Mandarin)
Then the teacher read the article to us.,"Then the teacher read the article to us and we filled in the blanks. [ I had never thought about ""filled in"" and ""filled out"" before. That's the beauty (one of the beauties) of Lang-8. You see your native language in a new light! The two phrases are almost alike. I would use ""fill in"" when completing a puzzle, and ""fill out"" for a job application or for a new doctor's file, information about yourself. ] ;-)",Chinese (Mandarin)
They served more than 15 kinds of cakes and we could eat as many as we want!,"They served more than 15 kinds of cakes and we could eat as many as we wanted! (I think in all cases, instead of 'serve/served', I would use 'have/had' instead. Serving implies that it is handed over to you in person. And usually that's not the case with a buffet. :))",Chinese (Mandarin)
"A lots of things around me :club,schoolwork,relationships,activity......","I have a lot of things going on right now: Activities Club, schoolwork, relationships, etc.",Chinese (Mandarin)
"Nowdays i learn English at English academy , so i conversation with native speaker!","I just started learning English at an English academy, hence i get to converse with native speakers/with a native speaker.",Chinese (Mandarin)
"But Sei-syonagon ,when a man of power propose her to serve another ,never to separate from Sadako.","But Sei-syonagon, when a man of power proposed her to serve another, never separated from Sadako, even when a man of power proposed she serve another.",Chinese (Mandarin)
A professional Sample of foods maker makes every of them by their hands.,A professional sample-food makers make each of them by their hands.,Chinese (Mandarin)
I started to study English in my first year of the middle school.,"I started to study English during my first year of middle school. (More typical would be to name the grade/form(? for British English; I'm an American), as in ""I started studying English in the sixth grade."")",Chinese (Mandarin)
"Around 10 years ago, I could have the first chance to meet Chinese, first, people from Taiwan and then main land China.","Around 10 years ago, I had my first chance to meet Chinese, from both Taiwan and from mainland China.",Chinese (Mandarin)
And a library send tracking information to me.,"and the library sends tracking information to me. (Remember not to start your sentences with ""And"" when writing in English! This sentence can be fixed by adding it on to the previous sentence.)",Chinese (Mandarin)
"Foe example ,I watched the Website ,and ordered something","Fo example, ""I ebsite and ordered something",Chinese (Mandarin)
Good Morning I form thailand my name is jirawut I come to here this first time for patice read wright english language for improve and devellop I hope any one help to me in the next time i will try to write beatiful place in thailand,Good Morning! I am from Thailand. My name is Jirawut. I have decided to practice writing in English here. I hope it will improve my English. I hope someone would help me. Next time I would write about beautiful places in Thailand.,Chinese (Mandarin)
"Now I try only having some tea, instead of Coke, when I can get a free drink.","Now I try instead of when I can get a free drink. (Also fine: ""Now I try just having some tea..."")",Chinese (Mandarin)
it was started from April first.,I started it April 1st.,Chinese (Mandarin)
"But,was due to the impact of the environment, I gradually loved the Christmas.","but, due to my surroundings , I gradually came to love Christmas.",Chinese (Mandarin)
US base is one of the most interest news in Japan.,"The issue concerning US bases is one of the most interesting news topics in Japan. [Perhaps you mean that this issue is one of the ""most debated topics""-- that is, a topic many people argue about.]",Chinese (Mandarin)
"I suppose Japan decide to make new relationship, between US and China.","I suppose Japan is trying to change its relationships with the US and China. [The reason ""US"" needs to be preceded by ""the"" is that it stands for the noun phrase ""united states.""]",Chinese (Mandarin)
"That is a poplular ""simulation love game"".","That is a poplular ""dating simulation game."" [You could also combine these two sentences as follows: They are ""otaku"" who are enthusiastic about a dating simulation game called ""Loveplus.""]",Chinese (Mandarin)
So first time i just use wii to exercise.,So at first I just used the Wii to exercise.,Chinese (Mandarin)
Thanks god it's Friday.,Thank God it's Friday. [Usually one says this when one feels like the work week has gone slowly-- so this seems strange in combination with the previous sentence.],Chinese (Mandarin)
2010 Worldcup is nearly coming.,It is nearly time for the 2010 World cup to begin,Chinese (Mandarin)
"They started hiring together with preparations to launch, not if they've launched them first and then started hiring)",I was impressed that hiring was part of the launch process and not left until post-launch.,Chinese (Mandarin)
"Have no idea what language should I use for Journal, my French is very poor yet, so everything I can say is something like ""je m'apelle"" or ""j'habite"" etc.","I have no idea what language I should use for my Journal. My French is still very poor , so everything I can only say things like ""je m'apelle"" or ""j'habite"" etc.",Chinese (Mandarin)
I study in university and major in Bioenviromental System engineering.,"I study at university and major in Bioenvironmental System engineering. [It sounds weird, but most people would say 'I study university.']",Chinese (Mandarin)
my classmate phone me to play basketball.,"my classmate phoned me to play basketball. [This happened in the past, so you need a verb in past tense.]",Chinese (Mandarin)
Today I did mario kart wii with my child.,"Today I played ario art ii with my child.(this is fine, but saying son/daughter sounds more natural)",Chinese (Mandarin)
"Well,If you guys were hungry,what confectionery will you eat?","Well, if you guys were hungry, what kind of confectionary/snacks would you like to eat?",Chinese (Mandarin)
Would you tell me what you like kind of confectionery and eating with your correction?,Please comment to let me know what kinds of confectionary/snacks you prefer.,Chinese (Mandarin)
"Final Liberty is made by two people, 'Koyaken who plays the guitar,and programs score by computer, and Yoryu who sings songs .","Final Liberty is made up of two people, myself, the guitarist and sound editor, and Yoryu, the singer.",Chinese (Mandarin)
"Competeing with previous job, the now job is easy and interesting.","Compared to my previous job, my job now is easy and interesting.",Chinese (Mandarin)
It's a well-known story in Japan when go to other country.,"It's a well-known story in Japan, told when you go to another country: (I had problems guessing your intention in this sentence, so I assumed you wanted to tell, that this story is told to people going to foreign countrys)",Chinese (Mandarin)
Radiation Risk Too Much!( Thank you for reading and correction),Radiation Risk Too High!,Chinese (Mandarin)
