native,classified_errors,error_counts
Spanish,[],Counter()
Chinese (Mandarin),"[('Pronoun Error', 'would', 'AUX', 'it', 'PRON'), ('Adjective Error', 'great', 'ADJ', 'be', 'AUX'), ('Adjective Error', 'to', 'PART', 'great', 'ADJ'), ('Verb Error', 'start', 'VERB', 'to', 'PART'), ('Verb Error', 'the', 'DET', 'start', 'VERB'), ('Noun Error', 'friendship', 'NOUN', 'the', 'DET'), ('Noun Error', 'from', 'ADP', 'friendship', 'NOUN'), ('Preposition Error', 'now', 'ADV', 'from', 'ADP'), ('Other Error', '.', 'PUNCT', 'on', 'ADV')]","Counter({'Adjective Error': 2, 'Verb Error': 2, 'Noun Error': 2, 'Pronoun Error': 1, 'Preposition Error': 1, 'Other Error': 1})"
Spanish,"[('Preposition Error', 'about', 'ADP', 'anything', 'PRON'), ('Pronoun Error', 'anything', 'PRON', 'and', 'CCONJ'), ('Verb Error', 'and', 'CCONJ', 'share', 'VERB'), ('Verb Error', 'share', 'VERB', 'general', 'ADJ'), ('Noun Error', 'general', 'ADJ', 'opinions', 'NOUN'), ('Noun Error', 'opinions', 'NOUN', 'and', 'CCONJ'), ('Noun Error', 'and', 'CCONJ', 'reflexions', 'NOUN'), ('Noun Error', 'reflexions', 'NOUN', '.', 'PUNCT')]","Counter({'Noun Error': 4, 'Verb Error': 2, 'Preposition Error': 1, 'Pronoun Error': 1})"
Russian,[],Counter()
Chinese (Mandarin),[],Counter()
Spanish,"[('Pronoun Error', 'I', 'PRON', ',', 'PUNCT'), ('Pronoun Error', 'am', 'AUX', 'I', 'PRON'), ('Verb Error', 'studying', 'VERB', 'am', 'AUX'), ('Verb Error', 'English', 'PROPN', 'studying', 'VERB'), ('Other Error', 'and', 'CCONJ', 'English', 'PROPN'), ('Other Error', 'French', 'PROPN', 'and', 'CCONJ'), ('Other Error', '.', 'PUNCT', 'French', 'PROPN'), ('Pronoun Error', 'I', 'PRON', '.', 'PUNCT'), ('Pronoun Error', 'would', 'AUX', 'I', 'PRON'), ('Verb Error', 'love', 'VERB', 'would', 'AUX'), ('Verb Error', 'to', 'PART', 'love', 'VERB'), ('Verb Error', 'find', 'VERB', 'to', 'PART'), ('Verb Error', 'someone', 'PRON', 'find', 'VERB'), ('Pronoun Error', 'to', 'PART', 'someone', 'PRON'), ('Verb Error', 'help', 'VERB', 'to', 'PART'), ('Verb Error', 'me', 'PRON', 'help', 'VERB'), ('Verb Error', 'practice', 'VERB', 'me', 'PRON'), ('Verb Error', 'English', 'PROPN', 'practice', 'VERB'), ('Other Error', 'and/or', 'CCONJ', 'English', 'PROPN'), ('Other Error', 'French', 'PROPN', 'and/or', 'CCONJ'), ('Other Error', '.', 'PUNCT', 'French', 'PROPN')]","Counter({'Verb Error': 10, 'Other Error': 6, 'Pronoun Error': 5})"
Chinese (Mandarin),"[('Pronoun Error', 'I', 'PRON', ',', 'PUNCT'), ('Pronoun Error', 'would', 'AUX', 'I', 'PRON'), ('Verb Error', 'like', 'VERB', 'would', 'AUX'), ('Verb Error', 'to', 'PART', 'like', 'VERB'), ('Verb Error', 'brush', 'VERB', 'to', 'PART'), ('Verb Error', 'up', 'ADP', 'brush', 'VERB'), ('Preposition Error', 'my', 'PRON', 'up', 'ADP'), ('Pronoun Error', 'English', 'PROPN', 'my', 'PRON'), ('Noun Error', 'speaking', 'NOUN', 'English', 'PROPN'), ('Noun Error', '.', 'PUNCT', 'speaking', 'NOUN')]","Counter({'Verb Error': 4, 'Pronoun Error': 3, 'Noun Error': 2, 'Preposition Error': 1})"
Spanish,"[('Preposition Error', 'to', 'ADP', 'New', 'PROPN'), ('Adjective Error', 'York', 'PROPN', 'many', 'ADJ'), ('Noun Error', 'many', 'ADJ', 'weeks', 'NOUN'), ('Noun Error', 'weeks', 'NOUN', 'ago', 'ADV'), ('Other Error', 'ago', 'ADV', 'and', 'CCONJ'), ('Other Error', 'and', 'CCONJ', 'French', 'PROPN'), ('Other Error', 'French', 'PROPN', '.', 'PUNCT'), ('Pronoun Error', '.', 'PUNCT', 'I', 'PRON'), ('Pronoun Error', 'I', 'PRON', ""'m"", 'AUX'), ('Other Error', ""'m"", 'AUX', 'an', 'DET'), ('Adjective Error', 'an', 'DET', 'industrial', 'ADJ'), ('Noun Error', 'industrial', 'ADJ', 'engineer', 'NOUN'), ('Noun Error', 'engineer', 'NOUN', 'and', 'CCONJ'), ('Noun Error', 'and', 'CCONJ', 'work', 'NOUN'), ('Noun Error', 'work', 'NOUN', 'as', 'ADP'), ('Preposition Error', 'as', 'ADP', 'a', 'DET'), ('Noun Error', 'a', 'DET', 'project', 'NOUN'), ('Noun Error', 'manager', 'NOUN', '.', 'PUNCT'), ('Other Error', '.', 'PUNCT', 'If', 'SCONJ'), ('Pronoun Error', 'If', 'SCONJ', 'you', 'PRON'), ('Verb Error', 'you', 'PRON', 'want', 'VERB'), ('Verb Error', 'want', 'VERB', 'to', 'PART'), ('Verb Error', 'to', 'PART', 'improve', 'VERB'), ('Verb Error', 'improve', 'VERB', 'your', 'PRON'), ('Adjective Error', 'your', 'PRON', 'Spanish', 'ADJ'), ('Noun Error', 'Spanish', 'ADJ', 'skills', 'NOUN'), ('Noun Error', 'skills', 'NOUN', ',', 'PUNCT'), ('Other Error', ',', 'PUNCT', 'please', 'INTJ'), ('Other Error', 'please', 'INTJ', 'just', 'ADV'), ('Verb Error', 'just', 'ADV', 'send', 'VERB'), ('Verb Error', 'send', 'VERB', 'me', 'PRON'), ('Pronoun Error', 'me', 'PRON', 'a', 'DET'), ('Noun Error', 'a', 'DET', 'message', 'NOUN'), ('Noun Error', 'message', 'NOUN', '.', 'PUNCT')]","Counter({'Noun Error': 12, 'Other Error': 7, 'Verb Error': 6, 'Pronoun Error': 4, 'Adjective Error': 3, 'Preposition Error': 2})"
Chinese (Mandarin),"[('Other Error', 'P.', 'PROPN', 'If', 'SCONJ'), ('Pronoun Error', 'If', 'SCONJ', 'your', 'PRON'), ('Noun Error', 'your', 'PRON', 'interest', 'NOUN'), ('Noun Error', 'interest', 'NOUN', 'is', 'AUX'), ('Adjective Error', 'is', 'AUX', 'more', 'ADJ'), ('Adjective Error', 'more', 'ADJ', 'than', 'ADP'), ('Noun Error', 'than', 'ADP', 'friendship', 'NOUN'), ('Noun Error', 'friendship', 'NOUN', 'and', 'CCONJ'), ('Noun Error', 'and', 'CCONJ', 'language', 'NOUN'), ('Noun Error', 'exchange', 'NOUN', ',', 'PUNCT'), ('Pronoun Error', ',', 'PUNCT', 'we', 'PRON'), ('Pronoun Error', 'we', 'PRON', 'are', 'AUX'), ('Other Error', 'are', 'AUX', 'not', 'PART'), ('Other Error', 'not', 'PART', 'a', 'DET'), ('Adjective Error', 'a', 'DET', 'suitable', 'ADJ'), ('Noun Error', 'suitable', 'ADJ', 'match', 'NOUN'), ('Noun Error', 'match', 'NOUN', '!', 'PUNCT')]","Counter({'Noun Error': 8, 'Other Error': 3, 'Pronoun Error': 3, 'Adjective Error': 3})"
Chinese (Mandarin),[],Counter()
