text,correct,sequence,native
When I arrived at LAX and I rent a car at Dallar rentcar shop,"When I arrived at LAX, I rent a car at Dallar rentcar ( shop","('PROPN', 'PUNCT', 'PRON')",Spanish
"While I am learning japanese, I don't want to forgot english, so I write here to improve english.","While I am learning Japanese, I don't want to forget English, so I write here to improve english.","('PROPN', 'PUNCT', 'PRON')",Spanish
"While I am learning japanese, I don't want to forgot english, so I write here to improve english.","While I am learning Japanese, I don't want to forget English, so I write here to improve english.","('PROPN', 'PUNCT', 'PRON')",Spanish
I had never ridden a bullet train for a while.,"I hadn't ridden a bullet train in a while. (Use ""I had never"" when it was your first time ever)","('PROPN', 'PUNCT', 'PRON')",Spanish
I had never ridden a bullet train for a while.,"I hadn't ridden a bullet train in a while. (Use ""I had never"" when it was your first time ever)","('PROPN', 'PUNCT', 'PRON')",Spanish
"About the place for party hall, a gentleman who also has the exchange experience through YFU runs a cafe at midtown Nagoya and he let us to use it for the Party!!!","A previous YFU exchange student now runs a cafe in Nagoya, he let us use his hall for the party","('PROPN', 'PUNCT', 'PRON')",Spanish
It is Dong Chun Kim that is called in Korea as my whole name.,it is Dong Chun Kim. That is my Korean name.,"('PROPN', 'PUNCT', 'PRON')",Spanish
It is Dong Chun Kim that is called in Korea as my whole name.,it is Dong Chun Kim. That is my Korean name.,"('PROPN', 'PUNCT', 'PRON')",Spanish
I started to study English in my first year of the middle school.,"I started to study English during my first year of middle school. (More typical would be to name the grade/form(? for British English; I'm an American), as in ""I started studying English in the sixth grade."")","('PROPN', 'PUNCT', 'PRON')",Spanish
"As for the wasabi which was for spreading on Sushis ,which I happenedly left over .","As for the wasabi, which was for spreading on my sushi I happened to have some left over .","('PROPN', 'PUNCT', 'PRON')",Spanish
Good Morning I form thailand my name is jirawut I come to here this first time for patice read wright english language for improve and devellop I hope any one help to me in the next time i will try to write beatiful place in thailand,Good Morning! I am from Thailand. My name is Jirawut. I have decided to practice writing in English here. I hope it will improve my English. I hope someone would help me. Next time I would write about beautiful places in Thailand.,"('PROPN', 'PUNCT', 'PRON')",Spanish
Good Morning I form thailand my name is jirawut I come to here this first time for patice read wright english language for improve and devellop I hope any one help to me in the next time i will try to write beatiful place in thailand,Good Morning! I am from Thailand. My name is Jirawut. I have decided to practice writing in English here. I hope it will improve my English. I hope someone would help me. Next time I would write about beautiful places in Thailand.,"('PROPN', 'PUNCT', 'PRON')",Spanish
