text,correct,predicted_native_language
"countless beating from their parent is believe to be capable of forging a successful child!thats how i was brought up at least, my parent always tell me how much they love me although they served me with rod every time i commit a wrongdoing,however when comes to the western way of parenting,it sounds like a fairy tale to me,for example the western parent always said this to their child if they happened to be repudiate, the parent will say this"" go to your room!"" this is something that will never happen in an asian family.","Countless beatings from their parent is believed to be capable of forging a successful child! That's how I was brought up at least. My parent always tell me how much they love me, although they served me with rod every time I committed a wrong doing. However, when comes to the western way of parenting, it sounds like a fairy tale to me. For example, the western parents always said this to their child if they happened to be repudiate, the parent will say ""go to your room!"" This is something that will never happen in an Asian family.",Chinese (Mandarin)
"The league was successful in establishing peace during 1920s through discouraging aggression to other countries by negotiation ,the Lon also plan to provide collective security by a community of power,example silesia,where the league settle a dispute between germany and poland through plebiscite,another example is the aaland where under lon's investigation settle a dispute between sweden and finland,the league is also successful in improving the life of people,for example they provide direct aid and welfare to the people in need around the world,one of the famous act is the repatriation of 400000 ww1 prisoners and employ them to kill mosquitos to prevent malaria and also prevent leprosy,they also provide economic experts to help Austria and Hungary as well as establishing the international labour organization.","The League was successful in establishing peace during the 1920s by discouraging aggression towards other countries through negotiation. The League also planned to provide collective security through a community of power, for example in the case of Silesia, where the League settled a dispute between Germany and Poland through a plebiscite. Another example is the Aaland Islands, where after an investigation the League managed to settle a dispute between Sweden and Finland. The League was also successful in improving living standards. For example they provided direct aid and welfare to people in need around the world. One of their famous acts is the repatriation of 400,000 WWI prisoners, whom they employed them to kill mosquitos to prevent malaria and also to prevent leprosy. They also provided economic experts to help Austria and Hungary, as well as establishing the International Labour Organization.",Chinese (Mandarin)
"russia and united state,the two most powerful countries in lon britain and france wanted to recover their economic loss in ww1 so they show no enthusiastic to get involve,the league fail to establish disarmament,first in 1923 and second in 1931 both fail because britain and germany,however they did arrange a conference in 1928 the kellog-briand pact which was an act of league assembly sign by 23 nations and supported by 65 countries and which outlawed war.","Russia and the United States. The two most powerful countries in the League, Britain and France, wanted to recover from their economic loss in WWI so they showed no enthusiasm to get involved. The League failed to establish disarmament, first in 1923 and then in 1931, both times because of Britain and Germany's unwillingness to cooperate. However they did arrange a conference in 1928 where the Kellog-Briand Pact, which was an act of the League's assembly outlawing war, was signed by 23 nations and supported by 65 countries .",Chinese (Mandarin)
Water for a rose and protect from cold whether.,He waters the rose and protects it from cold weather.,Chinese (Mandarin)
They have been awarded the first prize of a band competition which was all teenage bands in Japan could enter!,"In a band competition which all teenage bands of Japan could enter, they were awarded first prize!",Chinese (Mandarin)
"He has put affronts upon many celebrities in his songs such as Michel Jacson, Elvis Presley and even his ex-wife.","He has affronted/insulted many celebrities in his songs such as Michael Jackson, Elvis Presley and even his ex-wife. ""Put affronts upon"" might not be incorrect (I didn't check) but it sounds awkward.",Chinese (Mandarin)
"About the place for party hall, a gentleman who also has the exchange experience through YFU runs a cafe at midtown Nagoya and he let us to use it for the Party!!!","A previous YFU exchange student now runs a cafe in Nagoya, he let us use his hall for the party",Chinese (Mandarin)
It consists of nice interiors and cool drawings are painted all over the walls.,It had a nice interior with cool drawings painted all over the walls.,Chinese (Mandarin)
2 You have to walk left side of the road because its center is for the kami-sama to walk.,2 You must walk on the left side of the road because only the kami-sama may walk in the center.,Chinese (Mandarin)
"A lots of things around me :club,schoolwork,relationships,activity......","I have a lot of things going on right now: Activities Club, schoolwork, relationships, etc.",Chinese (Mandarin)
