Native,POS Sequence,Count
Chinese (Mandarin),"('NOUN', 'PUNCT', 'PUNCT')",196
Chinese (Mandarin),"('PUNCT', 'PRON', 'AUX')",184
Chinese (Mandarin),"('PROPN', 'PUNCT', 'PRON')",150
Chinese (Mandarin),"('INTJ', 'PUNCT', 'PRON')",108
Chinese (Mandarin),"('VERB', 'PART', 'VERB')",100
Chinese (Mandarin),"('ADJ', 'NOUN', 'PUNCT')",93
Chinese (Mandarin),"('NOUN', 'PUNCT', 'PRON')",90
Spanish,"('PUNCT', 'PRON', 'AUX')",144
Spanish,"('VERB', 'PART', 'VERB')",138
Spanish,"('NOUN', 'PUNCT', 'PRON')",137
Spanish,"('PROPN', 'PUNCT', 'PRON')",115
Spanish,"('PRON', 'AUX', 'VERB')",111
Spanish,"('INTJ', 'PUNCT', 'PRON')",94
Spanish,"('PUNCT', 'PRON', 'VERB')",68
Russian,"('PUNCT', 'PRON', 'AUX')",164
Russian,"('NOUN', 'PUNCT', 'PRON')",148
Russian,"('PROPN', 'PUNCT', 'PUNCT')",117
Russian,"('VERB', 'PART', 'VERB')",116
Russian,"('PROPN', 'PUNCT', 'PRON')",105
Russian,"('PRON', 'AUX', 'VERB')",95
Russian,"('PUNCT', 'PRON', 'VERB')",89
