Native,POS Sequence,Count
Chinese (Mandarin),"('NOUN', 'PUNCT', 'PUNCT')",196
Chinese (Mandarin),"('PUNCT', 'PRON', 'AUX')",184
Chinese (Mandarin),"('PROPN', 'PUNCT', 'PRON')",150
Chinese (Mandarin),"('INTJ', 'PUNCT', 'PRON')",108
Spanish,"('PUNCT', 'PRON', 'AUX')",144
Spanish,"('VERB', 'PART', 'VERB')",138
Spanish,"('NOUN', 'PUNCT', 'PRON')",137
Spanish,"('PROPN', 'PUNCT', 'PRON')",115
Russian,"('PUNCT', 'PRON', 'AUX')",164
Russian,"('NOUN', 'PUNCT', 'PRON')",148
Russian,"('PROPN', 'PUNCT', 'PUNCT')",117
Russian,"('VERB', 'PART', 'VERB')",116
