text,correct,predicted_native_language
Good Morning I form thailand my name is jirawut I come to here this first time for patice read wright english language for improve and devellop I hope any one help to me in the next time i will try to write beatiful place in thailand,Good Morning! I am from Thailand. My name is Jirawut. I have decided to practice writing in English here. I hope it will improve my English. I hope someone would help me. Next time I would write about beautiful places in Thailand.,Chinese (Mandarin)
About 6 dollars U.,"Since people in the US think in USD, i'll put it in terms you understand. This fruit is now worth more than your house.",Chinese (Mandarin)
"If I buy it in a foreign country, It may be cheaper than Japan.","If I bought a Star fruit overseas, would probably be a bit cheaper.",Chinese (Mandarin)
"Because boss B closed our company if even you who were calm were angry at me, boss B said that I forgave your the opinion.",Boss B closed the company and said said he forgave my opinion. (???),Chinese (Mandarin)
"Before I started Lang-8 community,","Before I joined the Lang-8 community, I was just interested in English and Japanese. (or Before I started using Lang-8, ~)",Chinese (Mandarin)
Now I'm listening Utada's song.,"Now I'm listening Utada's song.Alternatively: Now I'm listening song Utada. You could also say ""a Utada song,"" but that would make ""Utada"" a describing word and would only sound natural if the listener knew of Utada.always specify whether a noun is plural or singular where ambiguous, and use ""a"" or ""the"" in the singular case. The way you wrote it suggests not only that your listening to one song, but that Utada has only one song.",Chinese (Mandarin)
It schedule to start the class at 13 o'clock every Wednesday.,"I am scheduled to start class at 1 o'clock every Wednesday. (More natural: Every Wednesday, I have class at 1:00.)",Chinese (Mandarin)
"today ,i worked about PET four Exmaintion paper, it very terrble , altogether one hundred but i answered correct ten question ,i have fiveteen cent !oh,my lady gaga!","today ,i took the PET four Exam , it was terrible , from a total of one hundred i answered ten questions correctly ,i have fifteen percent !oh,my lady gaga!",Chinese (Mandarin)
"IMHO, although many diaries are manufactured by native Japanese speaker in SNS and blog every day, almost of those are useless except for oneself.","In my opinion, although many diaries are written by native Japanese speakers on SNS and blog sites every day, almost all of them are meaningless/inconsequential except for the person writing them.",Chinese (Mandarin)
"I was wondering while studying it that why do you add ""K"" ahead word such as ""knee""""knuckle""""knit""""know""""knight""""knife"" and extra though you don't pronounce ""K"" sound?","While studying them, I was wondering why you add ""K"" to the beginning of words such as ""knee""""knuckle"" ""knit""""know""""knight""""knife"" although you don't pronounce the ""K"" sound?",Chinese (Mandarin)
"Yesterday, I bought an I-Phone, which I had wanted for so long!","Yesterday, I bought an iPhone, which I had wanted for so long! (It is normal for Japanese people to start with ""Time, noun verb..etc."" To show difference in your sentences, try starting your entries with Nouns first. ""Ex: I bought an iPhone yesterday, one which I had wanted for so long!"")",Chinese (Mandarin)
"3b)After months of steady increase, gasoline prices are finally falling all over the world while peace continues in the Middle East.","3b)After months of steady increase, gasoline prices are finally falling all over the world there is peace in the Middle East (at the moment). I know that you want you want to say, but you can't say it in only one sentence. Example: ""After months of steady increase, gasoline prices are finally falling all over the world. This will last for as long as peace continues in the Middle East.""",Chinese (Mandarin)
"It's may last about 1 complete 1 days,which properly caused by using my mind to offen those days for learning Japanese and French.",It may last about 1 day. I think it is probably because I have been using my mind a lot to learn Japanese and French these days.,Chinese (Mandarin)
celebrating the birth of Jesus Christ through those carols and the play.,"celebrating the birth of Jesus Christ. (the way you wrote it, it sounds as though Jesus' birth was done by the carols and the play)",Chinese (Mandarin)
"Since our birth we are told to use proper grammar, to learn proper spelling by rote, not to play with syntax...","Since our birth we are told to use proper grammar, to learn proper spelling by repetition, not to play with syntax... Comment: I've never heard of the word 'rote' I had to look it up, maybe it is used in the UK? Also I'd change 'since our birth' to 'from our childhood.' Perhaps things are different in Russia, but I haven't seen much mentioning of grammar to a baby before they begin speaking.",Chinese (Mandarin)
But it is lucky power of this influenza is small.,"But it is lucky that the power of this influenza is small. We are lucky that this virus is weak. From your entry, we already know you are talking about H1N1 influenza, so you can say virus instead of repeating influenza or H1N1 in every sentence.",Chinese (Mandarin)
"I think I am good at reading English, and I can understand what they speak without Japanese subscript but with English one.","I think I am good at reading English, and I can understand what they speak without Japanese subscript but with English ones. Again, this phrasing is a little unnatural. Basically, it is too long. In English, we call sentences like these ""run on"" sentences: sentences with more than one ""and"" or ""but."" I would write this sentence as ""I can read English well, so I can understand what they say using English subscripts instead of Japanese ones.",Chinese (Mandarin)
"My office building have more than 20th floor, so I worried that the building would collapse.","My office building has more than 20th floors, so I worried that it would collapse. In English, a word changes when you mean more than one - one floor, two floors. (My friend studies Japanese and she told me that in Japanese, the word doesn't change; but it does in English.)",Chinese (Mandarin)
"I know the people in the Philippines speak English, but I'm wondering if there are any differences among Filipino English and English in other countries.",I am sure there is a lot of difference. I watched a British show and even though I could understand it they had a lot of slang words I didn't know.,Chinese (Mandarin)
-It's a long time since sujin and I didn't keep in touch.,-It's been a long time since Sujin and I kept in touch. [I think this correction means the same as what you intended.],Chinese (Mandarin)
"A: Dad, I've heard bad news from my friend just now.","A: Dad, I just received some bad news from my friend. // Dad, I received some bad news from my friend just now.",Chinese (Mandarin)
The European Figure Skating Championships 2010 was held a few days ago.,"The European Figure Skating Championships 2010 was held a few days ago.The European Figure Skating Championship was held a few days ago. You do not need to really correct your sentence. It is just that English speakers tend to put the year of the competition first, like in Chinese(I think)",Chinese (Mandarin)
May all meets to be nice!,May all meets to be nice! I put the Japanese translation into Google Translate and it just came up with 'Thank you' - I guess 'Thank you for reading' would be a good way to end,Chinese (Mandarin)
Few months ago my friend who lives in Austria tell me about Lang-8.,"Few months ago a friend of mine who lives in Austria tell me about Lang-8. [""my friend who lives in Austria"" would imply that that is only Austrian friend you have, but phrasing it as ""a friend of mine who lives in Austria"" makes where he lives incidental. Being picky here :P]",Chinese (Mandarin)
I knew that yajirusi is called arrow in English.,"I learned that yajirusi is called ""arrow"" in English. (I'm assuming that you just recently learned that word and not that you already knew for a long time that yajirushi means ""arrow"" in English)",Chinese (Mandarin)
I heard about this exciting web site that I can enjoy talking and improving my English from a friend of mine.,"I heard about this exciting web site that I can enjoy talking and improving my English from a friend of mine.I heard about this exciting website from a friend of mine, where I can enjoy talking and improve my English.",Chinese (Mandarin)
I am an English customer service.,I am an English customer service representative. [note on style: the way you say this makes it sound like you are from England. A better and less confusing way would be: I work in the customer services department serving English-speaking customers. ],Chinese (Mandarin)
Before I wrote a diary about travel.,"Before I wrote a diary about travel. ""Earlier"" is better for starting a sentence like this. If you start a sentence with ""Before I....."" English speakers will think, maybe, ""Huh? Before WHAT?!?! Huh? Huh?"" But, if you use ""Earlier, I...."" to start a sentence, English speakers think ""Aha, before NOW.""",Chinese (Mandarin)
"For example, I have never seen such a kind of California rolls and spicy rolls in Japan.","For example, I have never seen certain kinds of California rolls and spicy rolls in Japan. The problem here is that you probably have not seen ""California"" rolls in Japan at all, but it is only ""certain kinds"" of spicy rolls that you have not seen. In English an adjective applied at the begging of a list will apply to all the members so you have to write like this (If I guessed at what you meant correctly.) ""For example, I have never seen California rolls and certain kinds of spicy rolls (that they have in the US) in Japan.""",Chinese (Mandarin)
We traveled in comfort of our own car a few times.,"We traveled in the comfort of our own car a few times. UK spelling : travelled, US spelling : traveled. I use UK but I'm not sure about you =]",Chinese (Mandarin)
I saw a sushi shop was under construction in London.,"I saw a new sushi shop under construction in London. I think that saying ""I saw a new sushi shop being built in London"" makes it more clear that the place is a new shop, if you say under construction, to me, it means like renovations.",Chinese (Mandarin)
I ate wieners which I bought at a supermarket in England.,"I atesausages, which I bought at a supermarket in England.I changed it to sausages. I think only in America would people understand the word 'wiener' as being food. In England it would probably mean something else. I added the comma because it is additional information which is not directly connected with the information in the first part.",Chinese (Mandarin)
"at the bar, i enjoyed 'kurohige' with my friends.","at the bar, i enjoyed (you should put a quantity here to have it make more sense.)""kurohige"" with my friends.Ex: At the bar, I enjoyed various glasses of ""Kurokige"" with my friends.",Chinese (Mandarin)
My family lives in Fuxin.,"My family lives in Fuxin.(It might be easier if you said: ""My family lives in the city called, ""Fuxin"".)",Chinese (Mandarin)
"When I lernt english at school I had really good marks, but the most of my teacher was hopeless.","When I learnt (in America, we don't use this word - we just say ""learned"") English at school I had really good marks (also in America, we say ""grades""), but most of my teachers were hopeless.",Chinese (Mandarin)
"""so"", ""thus"" or ""therefore"" are more proper at there, isn't it?","""so"", ""thus"" or ""therefore"" are more proper at there, isn't it? *Kind of... those words are used to mean ""after reading/listening to the previous statement, the statement I'm about to say will make more sense."" Example: ""I took a survey to see if I should travel to Korea or Australia, and most people answered Korea. Therefore, I'll be going to South Korea next summer."" So they could still apply to the sentence.",Chinese (Mandarin)
"I learned that a King is buried under a parking lot, Scottish split on a heart in front of a cathedral to be lucky, and they love a dead dog named Bobby and bring sticks on his grave.","I learned that (there is) a King buried underneath a parking lot, that Scottish spit* on a heart in front of a cathedral for good luck, and that people love a dead dog named / called Bobby and bring sticks to his grave.",Chinese (Mandarin)
I want to work at Silicon Valley.,"I want to work in Silicon Valley. (Use ""at"" when you're talking about a specific place, like ""I want to work at [company name]"". But since Silicon Valley is an area with many places, ""in"" makes more sense. The same way I can say ""I want to work in Japan"", but not ""at Japan"").",Chinese (Mandarin)
