Unnamed: 0,native,language,text
2,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi everyone!I'm looking for a language exchange to improve my english. I'm a school teacher, so if you are interested in learning Spanish or Catalan, just let me know."
7,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I like to make friends around the world, if you also love to make friends, and share stories, I will be more than happy to know more about you, and would be great to start the friendship from now on."
10,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","A native english speaker please pop up, I want to improve my english speaking. I would be glad to help you with your spanish. We can text, and I'd like to do some video calls so it feels more like a real conversation. I'm open minded and I love learning new things, we can talk and discuss about anything and share general opinions and reflexions."
12,Russian,"[{'language': 'Norwegian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Swedish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I would like to improve my skills in Nordic languages and, hopefully, find new good friends."
18,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I can speak Chinese and a little bit of Japanese, but my English is not good. I would appreciate if you could teach me English. and if you want to learn Chinese, I could teach you. but you need to choose the time before I could help you."
23,Spanish,"[{'language': 'Danish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}]",I am from Barcelona and I speak Spanish and Catalan. At the moment I am studying English and French. I would love to find someone to help me practice English and/or French.
24,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I hope to make friends with people from all over the world, so please feel free to contact me. We may learn about each other's cultures and languages, share different views and talk about traveling, food, etc. At the moment I would like to brush up my English speaking."
34,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hey, I'm interested in improving my English I moved on to New York many weeks ago and French. I'm an industrial engineer and work as a project manager. If you want to improve your Spanish skills, please just send me a message."
37,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","My English is at an intermediate level. I am looking for a patient and long-term language exchange partner who can help me improve my English, especially speaking and writing. I am serious about it. In return, I am glad to help you learn Chinese. Beginners are also welcome, if you really want to learn.P. If your interest is more than friendship and language exchange, we are not a suitable match!"
39,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'German', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","Hi, I'm looking to improve my English, Italian and French. I studied visual arts at the University of Bologna."
43,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",Im Marlene from Taiwan. Working in marine industry and eager to get into a better company which I should improve my English speaking right away. Looking for a English native speaker who is also in need of learning Chinese to become my partner.
46,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I'm trying to improve my english conversation skills, but I don't like to study in the conventional way, during the pandemic I realized that the best way was through language exchange or by talking with someone who had the same goal, I did a lot of exchange during those 6 months and now I wanted to see to start over. I love talking about movies, music, travel and tennis. And regarding me, I'm living in Spain, but I'm from Argentina, I emigrate here with my wife in 2002 and we have 2 kids."
