text,correct,predicted_native_language
Chinese Foreign Ministry spokesman Qin Gang said China was indignant and resolutely opposed Paris's award for the Dalai Lama made despite China's opposition.,Chinese Foreign Ministry spokesman Qin Gang said China was indignant and resolutely opposed Paris' award for the Dalai Lama made despite China's opposition. (when a word ends in 's' you only have to put ' [For example James' bike is nice],Spanish
"therefore I was trying to speak with her, when we took the same train.","Therefore, as we were on the same train, I tried to speak with her, .",Spanish
It was a three days and 2 nights event.,"It was a three days and 2 nights event. [""Three day, 2 night event."" Just to let you know, you can also write it this way and omit the ""and"", using a comma instead. A lot of times, you can even omit the ""s"".]",Spanish
I am so glad to to be incorporated as a member of the lab!,"I am so glad to to be incorporated as a member of the lab! (It's a little weird to use 'incorporated', because it sounds too formal and business-like. You can say, ""... to be part of this lab!""",Spanish
And there is a huge homework due Thursday.,"And there is a huge pile of/amount of homework due Thursday. [Need something to indicate how much homework. ""Huge"" doesn't really do that here...]",Spanish
So I don't have much time to write this journal entry because I have to get ready to go school before I go to bed.,"So I don't have much time to write this journal entry because I have to get ready to go school before I go to bed. (Again, not necessarily ungrammatical but this can also be read as you are planning to go to school tonight BEFORE you go to bed. Perhaps something like ""I have to get ready for school tomorrow and go to bed."" That would clear all possible confusion.",Spanish
"I stayed at my friends houses who are going to universities in Tokyo for 3 days, and we had drink every night.","I stayed at my friend's house. He will be going to university in Tokyo in 3 days' time, and we drank every night.",Spanish
"Everytimes i herad such things, it is misunderstanding, and i explaint to him , it is not true....","Everytime hed things , it misunderstanding, and explain to him: is not ... ""such things"" is a bit formal. ""I would explain"" means ""I used to have the habit of explaining""",Spanish
"I know diferent country have diferent coustom, thought , many thing,","I know diferent countri have diferent custom, , , ""and all that"" is rather casual speech. Coming immediately after a serious word like ""philosophies"" it implies ""this is a serious subject, but I don't want to make it heavy"".",Spanish
"Beacause the exception ,most biggest Smatora Ireland M9.3 , was itself but I can't find relation.","I researched this for a while, but because of this one exception I was unable to find the connection.",Spanish
It means that you don't admit the score of TOEFL?,Does this mean that do not evaluate TOEFL scores and that you only evaluate SAT scores? (don't is correct but in a formal writing like this do not is better),Spanish
